"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","MEAN_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","LOBSTER_NUM","CONCH_NUM","DIADEMA_NUM","A_PALMATA","A_CERVICORNIS","D_CYLINDRUS","M_FEROX","O_ANNULARIS","O_FRANKSI","O_FAVEOLATA"
"SEFCRI",3066,1,2022,6,14,"LIRI","INNR1",1,NA,0.243333333333333,25.88817,-80.10082,1894018,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,10.0583996781312,10.3631996683776,15,0,0,1,"A","A","A","A","A","A","A"
"SEFCRI",3229,1,2022,6,14,"SPGR","OFFR1",1,NA,0.310666666666667,25.87421,-80.08852,1914379,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,18.287999414784,18.8975993952768,15,0,0,0,"A","A","A","A","A","A","PT"
"SEFCRI",3275,1,2022,6,21,"APRD","PTDP1",1,NA,0.784666666666667,26.12355,-80.07977,1552281,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,22.5551992782336,23.7743992392192,15,0,0,0,"A","A","A","A","A","A","PS"
"SEFCRI",3101,1,2022,6,21,"LIRM","MIDR0",0,NA,0.212,26.12539,-80.0867,1549643,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,14.0207995513344,14.6303995318272,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3064,1,2022,6,21,"LIRI","INNR1",1,NA,0.722,26.12073,-80.0934,1556189,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,6.70559978542081,7.92479974640641,15,0,0,0,"A","A","A","A","A","A","PT"
"SEFCRI",3197,1,2022,7,13,"LIRO","OFFR1",1,NA,0.733333333333333,25.99696,-80.08924,1735944,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,19.5071993757696,20.4215993465088,15,0,0,0,"A","A","A","PS","A","A","A"
"SEFCRI",3060,1,2022,6,29,"LIRI","INNR1",1,NA,0.16,26.17592,-80.08735,1476169,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,6.09599980492801,6.09599980492801,15,0,1,0,"A","A","A","A","A","A","PS"
"SEFCRI",3085,1,2022,6,29,"LIRM","MIDR0",0,NA,0.26,26.2212,-80.07683,1409933,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,13.715999561088,13.715999561088,15,0,0,0,"A","A","A","A","A","A","PS"
"SEFCRI",3220,1,2022,6,29,"SPGR","OFFR1",1,NA,0.426666666666667,26.22934,-80.06863,1398141,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,17.0687994537984,19.5071993757696,15,0,0,0,"A","A","A","A","A","PS","A"
"SEFCRI",3273,1,2022,6,29,"APRD","PTDP1",1,NA,0.76,26.20817,-80.06941,1428972,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,25.6031991806976,25.6031991806976,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3190,1,2022,7,21,"CPDP","OFFR0",0,NA,0.06,26.03054,-80.08906,1687399,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,16.4591994733056,16.763999463552,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3193,1,2022,7,21,"LIRO","OFFR1",1,NA,0.385333333333333,25.97243,-80.08979,1772023,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.5447995025664,16.4591994733056,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3279,1,2022,6,27,"APRD","PTDP1",1,NA,0.18,26.32908,-80.05661,1253188,"Deerfield",14,NA,NA,NA,0,NA,0,NA,22.85999926848,23.1647992587264,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3219,1,2022,7,13,"LIRO","OFFR1",1,NA,0.233333333333333,26.00233,-80.08855,1728073,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,17.3735994440448,17.6783994342912,15,0,0,0,"A","A","A","A","A","PS","A"
"SEFCRI",3047,1,2022,7,21,"LIRI","INNR0",0,NA,0.0253333333333333,25.94491,-80.10333,1812012,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,8.22959973665281,8.53439972689921,15,0,0,0,"A","PS","A","A","A","A","A"
"SEFCRI",3039,1,2022,7,21,"LIRI","INNR0",0,NA,0.0366666666666667,25.94568,-80.10238,1810702,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,8.22959973665281,8.22959973665281,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3237,1,2022,6,27,"APRD","PTDP1",1,NA,0.253333333333333,26.33167,-80.05731,1249250,"Deerfield",14,NA,NA,NA,0,NA,0,NA,21.9455992977408,21.9455992977408,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3154,1,2022,6,27,"RGSH","NEAR0",0,NA,0.0133333333333333,26.31071,-80.07428,1280049,"Deerfield",14,NA,NA,NA,0,NA,0,NA,2.4383999219712,2.4383999219712,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3223,1,2022,6,10,"LIRO","OFFR1",1,NA,0.303333333333333,26.19163,-80.07142,1453240,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,19.811999366016,19.811999366016,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3028,1,2022,8,10,"DPRC","DPRC1",1,NA,0.139333333333333,26.83561,-80.00484,516594,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,26.5175991514368,27.1271991319296,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3006,1,2022,8,10,"DPRC","DPRC0",0,NA,0.0473333333333333,26.83021,-80.01202,524452,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,26.5175991514368,26.8223991416832,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3008,1,2022,8,10,"DPRC","DPRC0",0,NA,0.072,26.82141,-80.01413,537568,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,23.4695992489728,23.7743992392192,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3264,1,2022,8,10,"PTCH","PTSH2",2,NA,0.0926666666666667,26.72425,-80.01789,678602,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,19.2023993855232,19.5071993757696,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3263,1,2022,8,9,"PTCH","PTSH2",2,NA,0.0866666666666667,26.72376,-80.01807,679258,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,19.5071993757696,19.811999366016,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3078,1,2022,7,13,"LIRI","INNR1",1,NA,0.146666666666667,26.00755,-80.10138,1720831,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,8.83919971714561,9.44879969763841,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3058,1,2022,7,13,"LIRI","INNR1",1,NA,0.113333333333333,26.004,-80.10053,1726081,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.44879969763841,9.75359968788481,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3159,1,2022,8,9,"CPSH","NEAR0",0,NA,0.0633333333333333,26.72893,-80.03132,672015,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,6.70559978542081,6.70559978542081,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3023,1,2022,8,9,"DPRC","DPRC0",0,NA,0.0833333333333333,26.83404,-80.01663,519195,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,21.6407993074944,21.6407993074944,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3262,1,2022,9,15,"APRD","PTDP0",0,NA,0.0533333333333333,26.64076,-80.01874,799962,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,26.2127991611904,26.5175991514368,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3065,1,2022,9,14,"LIRI","INNR1",1,NA,0.12,25.86444,-80.09903,1928790,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,14.0207995513344,14.6303995318272,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3119,1,2022,9,14,"LIRM","MIDR1",1,NA,0.0966666666666667,25.99075,-80.09576,1745115,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,14.9351995220736,15.5447995025664,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3013,1,2022,8,10,"DPRC","DPRC0",0,NA,0.116666666666667,26.8299,-80.01169,525109,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,25.2983991904512,26.5175991514368,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3016,1,2022,8,12,"DPRC","DPRC0",0,NA,0.05,26.74187,-80.00824,653037,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,29.5655990539008,29.5655990539008,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3243,1,2022,8,12,"LIRO","OFFR1",1,NA,0.326666666666667,26.61301,-80.02262,840627,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,20.7263993367552,20.7263993367552,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3002,1,2022,8,12,"DPRC","DPRC0",0,NA,0,26.71588,-80.01347,691075,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,27.431999122176,27.431999122176,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3012,1,2022,8,11,"DPRC","DPRC0",0,NA,0.05,26.86266,-80.00598,477231,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,24.6887992099584,24.6887992099584,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3026,1,2022,8,11,"DPRC","DPRC0",0,NA,0.1,26.87212,-80.01947,464084,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,23.4695992489728,23.4695992489728,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3157,1,2022,8,11,"RGSH","NEAR0",0,NA,0.0666666666666667,26.69387,-80.031,723185,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,4.571999853696,4.571999853696,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3143,1,2022,8,16,"CPSH","NEAR0",0,NA,0,25.91446,-80.11536,1855940,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,6.70559978542081,6.70559978542081,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3076,1,2022,8,16,"LIRI","INNR1",1,NA,0.12,25.88884,-80.10183,1893360,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,9.75359968788481,9.75359968788481,15,0,0,0,"A","A","A","A","A","PS","A"
"SEFCRI",3149,1,2022,8,16,"RGSH","NEAR0",0,NA,0.06,25.89924,-80.10575,1878264,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,7.92479974640641,7.92479974640641,15,0,1,0,"A","A","A","A","A","A","A"
"SEFCRI",3114,1,2022,8,23,"LIRM","MIDR1",1,NA,0.406666666666667,26.07019,-80.09157,1629666,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,17.6783994342912,17.6783994342912,15,0,0,0,"A","A","A","PS","A","PT","PT"
"SEFCRI",3071,1,2022,8,23,"LIRI","INNR1",1,NA,0.213333333333333,25.98997,-80.10258,1746413,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,10.0583996781312,10.0583996781312,15,3,0,0,"A","A","A","A","A","PT","PT"
"SEFCRI",3139,1,2022,8,23,"CPSH","NEAR0",0,NA,0.2,26.0636,-80.10253,1639484,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,7.01039977566721,7.01039977566721,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3105,1,2022,7,11,"LIRM","MIDR0",0,NA,0.0133333333333333,26.37178,-80.06249,1191511,"Deerfield",14,NA,NA,NA,0,NA,0,NA,8.53439972689921,8.53439972689921,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3249,1,2022,7,11,"SPGR","OFFR1",1,NA,0.38,26.44772,-80.04525,1080680,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,22.85999926848,22.85999926848,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3282,1,2022,7,11,"SPGR","OFFR1",1,NA,0.366666666666667,26.39654,-80.05188,1155452,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,18.287999414784,18.287999414784,15,0,0,0,"A","A","A","A","A","A","PT"
"SEFCRI",3280,1,2022,7,20,"APRD","PTDP1",1,NA,0.573333333333333,26.29405,-80.06026,1304349,"Deerfield",14,NA,NA,NA,0,NA,0,NA,24.383999219712,24.383999219712,15,0,0,0,"A","A","A","A","A","PT","A"
"SEFCRI",3109,1,2022,7,20,"LIRM","MIDR1",1,NA,0.413333333333333,26.16819,-80.08022,1487335,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,20.1167993562624,20.1167993562624,15,1,0,0,"A","A","A","A","A","PS","A"
"SEFCRI",3050,1,2022,7,20,"LIRI","INNR0",0,NA,0.14,26.10573,-80.09266,1577839,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,12.4967996001024,12.4967996001024,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3259,1,2022,7,20,"SPGR","OFFR1",1,NA,0.466666666666667,26.2847,-80.06101,1317467,"Deerfield",14,NA,NA,NA,0,NA,0,NA,24.6887992099584,24.6887992099584,15,1,0,0,"A","A","A","A","A","PS","A"
"SEFCRI",3215,1,2022,8,10,"LIRO","OFFR0",0,NA,0.163333333333333,26.717,-80.01835,689097,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,16.763999463552,16.763999463552,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3211,1,2022,9,15,"RGDP","OFFR0",0,NA,0.0533333333333333,26.62956,-80.01971,816360,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,27.1271991319296,27.1271991319296,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3261,1,2022,9,15,"APRD","PTDP0",0,NA,NA,26.65318,-80.01747,782252,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,25.6031991806976,25.6031991806976,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3281,1,2022,9,15,"APRD","PTDP1",1,NA,0.366666666666667,26.61788,-80.02062,833414,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,25.6031991806976,25.6031991806976,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3005,1,2022,9,16,"DPRC","DPRC0",0,NA,0.05,26.71817,-80.01232,687141,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,29.2607990636544,29.2607990636544,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3010,1,2022,9,16,"DPRC","DPRC0",0,NA,0.0733333333333333,26.8757,-79.99442,458230,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,28.955999073408,28.955999073408,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3025,1,2022,9,16,"DPRC","DPRC0",0,NA,0.05,26.86096,-80.02034,479827,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,25.907999170944,25.907999170944,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3252,1,2022,9,16,"RGDP","OFFR0",0,NA,0.0366666666666667,26.5509,-80.02739,930490,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,24.6887992099584,24.6887992099584,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3239,1,2022,10,12,"SPGR","OFFR1",1,NA,0.32,26.27132,-80.06297,1337144,"Deerfield",14,NA,NA,NA,0,NA,0,NA,19.5071993757696,19.5071993757696,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3200,1,2022,10,12,"CPDP","OFFR0",0,NA,0.326666666666667,26.25029,-80.06647,1367969,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,19.811999366016,19.811999366016,15,2,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3123,1,2022,10,12,"LIRM","MIDR1",1,NA,0.366666666666667,26.28094,-80.06922,1323355,"Deerfield",14,NA,NA,NA,0,NA,0,NA,20.4215993465088,20.4215993465088,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3144,1,2022,10,12,"CPSH","NEAR0",0,NA,0.03,26.22167,-80.0862,1409258,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,4.571999853696,4.571999853696,15,0,12,0,"A","PT","A","A","A","A","A"
"SEFCRI",3214,1,2022,9,16,"RGDP","OFFR0",0,NA,0,26.55078,-80.02741,931146,"South Palm Beach",15,NA,NA,NA,0,NA,0,NA,24.383999219712,24.9935992002048,15,1,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3009,1,2022,8,9,"DPRC","DPRC0",0,NA,0.03,26.91339,-79.99548,403779,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,28.955999073408,28.955999073408,1,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3019,1,2022,8,9,"DPRC","DPRC0",0,NA,0.0373333333333333,26.90071,-79.99738,422144,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,29.5655990539008,29.8703990441472,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3285,1,2022,8,10,"PTCH","PTDP0",0,NA,0.0866666666666667,26.82517,-80.01622,532316,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,24.9935992002048,25.2983991904512,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3007,1,2022,8,11,"DPRC","DPRC0",0,NA,0.05,26.86834,-80.00981,469352,"North Palm Beach",16,NA,NA,NA,0,NA,0,NA,24.0791992294656,24.383999219712,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3269,1,2022,6,23,"APRD","PTDP1",1,NA,0.388,25.78499,-80.08603,2044273,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,22.5551992782336,23.4695992489728,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3271,1,2022,7,22,"SPGR","OFFR1",1,NA,0.329333333333333,25.84458,-80.0865,1957679,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,21.9455992977408,23.4695992489728,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3129,1,2022,6,21,"RGSH","NEAR0",0,NA,0,25.77093,-80.11089,2064560,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,8.53439972689921,9.14399970739201,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3140,1,2022,8,8,"RGSH","NEAR0",0,NA,0.115333333333333,25.78676,-80.10266,2041616,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,8.22959973665281,8.53439972689921,15,0,0,0,"A","A","A","A","A","A","A"
"SEFCRI",3134,1,2022,8,8,"RGSH","NEAR0",0,NA,0.181333333333333,25.79527,-80.09959,2029158,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,10.0583996781312,10.3631996683776,15,2,0,0,"A","A","A","A","A","A","A"
